,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2019-02-28,237344.50098223804,100171.54433266887,83831.21957505484,108457.87191669855,201852.9663662651,204150.112514829,101573.20100311408,121328.40390134638,103120.07523571287,86622.02533740818,285864.96939400263,104429.84005895417,217037.34779172784,72344.23250571497,109447.56503197594,92262.57952581774,79617.21975816478,99843.2183211988,177224.55797579585,126202.38361551813,130903.71929262142,92781.5555646658,136175.22901419623,86076.76066538025,103968.65340774067,212082.38736062346,91271.21056486072,187895.61357082127,125559.87542820319,137831.71828989754,126519.14802499101,143444.73842262372,214748.57018673883,82070.74619842759,77427.089971687,72704.16896810758,172748.87431180384,100244.4020514775,100166.13973286551,88350.88516099886,177327.13270545856,101029.51131056264,107551.545672308,160156.05001597508,90497.27688855142,197952.97889656518,158145.06099362407,148403.15022086742,104454.48535435872,262746.454314008
2019-03-31,239343.80854926928,101148.12766486964,84317.06777552242,109614.16947635543,202220.95732293854,205192.2004126295,101802.43104028027,122143.4647999528,103432.83345869144,87323.42425621729,286232.6307646559,105060.69574358378,218365.40610027235,71355.35147994544,110442.2319840706,92414.44764783065,79980.1893482615,100464.56976414967,177962.88926353626,127055.02598404603,131400.9533189103,93570.17853579085,137352.0408773837,84438.09052251188,104491.5582875875,213261.09827836818,91816.79269048333,188739.96995237147,126360.68564829041,138435.12974999295,127370.20710369264,143806.65520706424,216233.2418617668,80849.20841782278,77928.6928093705,72885.44992904073,173673.197808337,98870.55441061109,100621.35549280123,88918.04473794872,178221.13924702237,102350.67124230936,107929.05829188344,161456.89622070373,91139.33475991199,197957.9346922079,159135.66517015238,144493.86562383754,104662.52535791972,263832.38465075043
2019-04-30,253561.48820944893,101917.03490451476,84867.75079878539,110522.0785652872,202587.98333822621,206272.16065041424,102039.46467501944,122925.35361251762,103704.91364176194,87845.88330523469,286941.28963073244,101754.0991922452,219926.26609988758,72033.47430788193,111255.42634734104,93650.69182700792,80411.91020824987,101164.17900245373,178910.23083274817,127752.26837192524,131881.36560390433,94382.44485610213,138308.11871542837,84974.1220185725,105115.2020626493,214523.67796085594,92325.4833720113,189600.61085142143,127088.87649737464,139137.42756098203,128146.83563838304,144610.50302346877,217618.1945732953,81130.48397721871,78335.91455157349,73246.24521405267,174532.32724292486,99497.60107453652,101137.32384653081,89413.02052875316,179099.9311905305,103424.76090608885,108452.39054582754,162667.14312834898,91711.44341356281,198170.30358187907,160270.70358572048,145520.2458713138,104907.92372698848,265175.67828288313
2019-05-31,254783.03523105718,102418.03702956562,85379.13172790554,111181.04898912387,202964.78592003012,207073.2283654222,102175.2072222778,123495.64454951069,103936.12325534277,88274.38927048827,287783.42230203276,102238.91252733559,221608.9424502525,72470.42414091979,111789.78783666962,94044.33707035435,80795.9215247162,101775.33950571113,179646.48807226898,128124.88556572437,132161.93704325447,95128.52831158409,138949.71648232566,85398.59572656684,105653.93752794563,215598.35954829105,92746.97720294027,190273.923965159,127741.18747352429,139712.2824484138,128577.19507972884,145712.73300480287,218595.43381274687,81350.67619374536,78581.7514342696,73560.38649734951,175213.93577549103,99986.56151292768,101644.1885720376,89827.99101857557,179665.6269088639,104237.27607133289,109029.43265314822,163672.05578704877,92178.25526796494,198326.56929515093,161361.78830897887,146296.70101146377,104996.621644709,266206.3730435171
2019-06-30,255819.16826482984,102791.25948861941,85838.51248929983,111716.74985235182,203142.9797087888,207695.50700863017,102221.51118383367,123945.60899261861,104162.25557482567,88603.05173168678,288538.3020021534,102644.43883865305,209404.45085338375,72690.37476752696,112149.90546849777,94222.7296729476,81085.41661799427,102208.25532242542,180204.59863013195,128378.08275710937,132423.45663865644,95665.45967648752,139380.12586588808,85726.9557334054,106231.79901561698,216498.50619631604,93020.6749401331,191154.63051101757,128278.46470773453,140294.28122902635,128964.21181430436,146764.26212898642,219383.1372643389,81551.46355372715,78763.95361224865,73807.91626955196,175872.01362232535,100412.8083619193,102017.87033754746,90171.15794066314,180135.91361099714,104900.71286251329,109537.92856294542,164402.45665324546,92418.81899672556,198528.15063502206,162351.95887436555,146896.38853742185,105097.26312709387,267345.23409674515
2019-07-31,256676.1754431942,103221.15071766832,86144.69742633218,112294.92474328433,203386.62839450515,208328.7407072228,102254.28902053312,124282.96714570603,104526.21536970754,88984.0600392506,289313.49750854366,102946.27279886128,211141.4397595017,72807.74370979288,112586.67908450155,94355.98248352254,81336.03574473802,102681.92311738369,180452.21163587723,128502.33026246775,132822.3289137627,95958.98183467977,139659.40883093557,85989.94494758749,106621.27879726805,217375.2542685594,93260.38409971948,192270.5653705018,128702.57065723225,141079.84943950354,129158.14506758642,147687.86082843767,220318.3556626253,81844.42733072904,79030.41716521753,74012.8625595231,176525.5427892593,100837.18545671739,102286.97608121776,90477.71125429541,180480.57198092257,105579.09265192649,110090.80069221096,165108.1492208199,92607.06922074646,198963.60535287447,163313.1191826348,147486.11472250053,105223.8542445818,268474.22418236936
2019-08-31,257482.75117141203,103712.58745243885,86341.95099199344,112911.77065625659,203747.74610997605,209152.71899833225,102334.10041892163,124644.10104058057,104910.94363133085,89400.0184101634,289685.3294741272,103182.87044800741,212968.03524051508,72900.14951760868,113110.57930314998,94606.48664123968,81585.25073161359,102964.98666959394,180699.93614022186,128770.23094853372,133497.42115023034,96094.36661971589,139956.1936165067,86196.50213401056,106710.33111667231,218523.99972394115,93511.3567960792,193351.88147188205,129104.03316768991,141899.5104523716,129420.62973297143,148352.957301364,221434.85706906862,82166.37250403897,79280.59459245364,74197.12163835489,177273.0727053488,101270.65657794382,102462.92653452193,90782.61061184178,180844.98592421375,106262.89938764603,110584.28209486572,165894.12909421948,92801.96915281583,199640.74903798942,164369.0432379497,148045.53265709616,105191.5148995198,269968.3253989572
2019-09-30,258331.01317848515,104055.47135351472,86341.85000252485,113466.25983881377,204155.17708679513,209880.0257723003,102270.45885526267,124867.34655376687,105233.73346864368,89696.81546578972,289920.6326894611,103404.9264871632,214625.16080121347,72835.76986684416,113537.93638314785,94854.46331235995,81814.70096870702,103057.3312356807,180605.26514880478,128873.38151780618,134079.7276090505,96133.8667232332,140087.9362275294,86202.5083906931,106403.36365275458,219543.85478242763,93675.82261100702,194062.18684666022,129445.68251679119,142567.20092915825,129634.52415749307,148749.31441206092,222260.56660678296,82375.86354309534,79448.2217613704,74196.59723841427,177835.19988451147,101595.67339898781,102499.06269351109,90967.2085075602,181228.22972400684,106796.1115639658,109874.36898410675,166695.9657124706,92959.68253921144,200341.18027353825,165318.79279638268,148518.96948604274,104940.31720253694,271048.41988041095
2019-10-31,259336.6007864071,104510.90857856597,86462.69419066182,114135.25333518982,204799.80301824707,210624.40275540855,102340.8944611658,125094.82121071818,105729.07487839418,90162.33668226762,290211.3340934949,103885.04168626059,216491.94110557405,72962.86726917894,114000.626831895,91356.31953401746,82198.11136967405,103150.1121355933,181000.37553727283,129180.3173869913,134755.08900089096,96519.92116892323,140506.65279104168,86442.0148986292,106260.31182377932,220547.80186084623,94024.31943465621,194778.64064352826,130003.7772641723,143169.46559187974,130146.18891025682,149257.68798745007,222905.10455062994,82748.49157513386,79754.40903598348,74358.51958902359,178593.0118588238,102066.4328815164,102777.65081499214,91329.92796963085,182043.9869832285,107449.63704324963,110556.24694796749,167682.46378016614,93283.73971034127,201162.3555247067,166495.79436759374,149131.04218094342,104803.84001998561,272184.9285010686
2019-11-30,260576.65895382588,105107.88854525289,86694.11304715258,114770.51229075129,205495.89773332357,211428.23460878353,102483.25319517354,125467.16384272846,106251.67393072028,90596.01905091059,291066.341396135,104410.34038065874,218421.34420972242,69777.03800712514,114601.33831610769,91863.84558394126,82708.508534243,103543.19338392367,181568.7816226612,129580.9353588066,135573.92992674382,97041.54978037639,141075.16768690667,86821.64588767392,106279.76233553041,221592.47603692667,94488.681535818,195526.73480327122,130614.32070818466,143862.1375797258,130846.3202029078,150064.54052575017,223607.96258020398,83114.19237429378,80197.05835480065,74747.01226697446,179531.41147071365,102640.0959002091,103199.25783884723,91849.26497744599,183043.8485527849,108224.9165759122,111268.0187266075,168831.27921173885,93605.12690852823,202270.80448261293,167761.11989933802,149884.65181996496,104775.9627226198,273413.4900329951
